,순번,구분,타입,계약면적(㎡),전용면적(㎡),대지면적(㎡),매매가,보증금 (단위: 만원),월세(단위:만원),주소,기타(세부주소)
372,373,명지동,월세,291.79,199.8,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가2층
373,374,명지동,월세,317.45,179.73,-,-,3000,140,부산시 강서구 명지동 일반상가,일반상가9층
374,375,명지동,월세,165.02,165.02,-,-,4000,300,부산시 강서구 명지동 일반상가,일반상가1층
375,376,명지동,월세,312.45,188.57,-,-,2000,100,부산시 강서구 명지동 일반상가 존2,일반상가 존24층
376,377,명지동,월세,235.12,140.25,-,-,2000,140,부산시 강서구 명지동 일반상가,일반상가2층
377,378,명지동,월세,224.79,224.79,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가2층
378,379,명지동,월세,236.92,180,-,-,2000,170,부산시 강서구 명지동 일반상가,일반상가2층
379,380,명지동,월세,925.6,383.4,-,-,10000,500,부산시 강서구 명지동 일반상가,일반상가1층
380,381,명지동,월세,345.8,183.4,-,-,5000,450,부산시 강서구 명지동 복합상가 세정프라자,복합상가 세정프라자2층
381,382,명지동,월세,308.14,267.12,-,-,3000,180,부산시 강서구 명지동 일반상가,일반상가4층
382,383,명지동,월세,478,478,-,-,10000,460,부산시 강서구 명지동 단지내상가,단지내상가3층
383,384,명지동,월세,267.36,208.94,-,-,3000,200,부산시 강서구 명지동 일반상가,일반상가3층
384,385,명지동,월세,250.1,250.1,-,-,7000,300,부산시 강서구 명지동 일반상가,일반상가3층
385,386,명지동,월세,320.81,185.11,-,-,2000,110,부산시 강서구 명지동 일반상가,일반상가4층
386,387,명지동,월세,195.03,113.74,-,-,2000,100,부산시 강서구 명지동 일반상가,일반상가2층
387,388,명지동,월세,182.47,182.47,-,-,3000,250,부산시 강서구 명지동 일반상가,일반상가1층
388,389,명지동,월세,317.3,179.7,-,-,3000,140,부산시 강서구 명지동 일반상가 더프라임,일반상가 더프라임9층
389,390,명지동,월세,214.24,124.7,-,-,2000,130,부산시 강서구 명지동 일반상가1,일반상가11층
390,391,명지동,월세,174,105,-,-,2000,70,부산시 강서구 명지동 단지내상가 에코펠리스,단지내상가 에코펠리스8층
391,392,명지동,월세,251.38,180,-,-,2000,150,부산시 강서구 명지동 일반상가 제이티,일반상가 제이티3층
392,393,명지동,월세,250.4,131.4,-,-,2000,80,부산시 강서구 명지동 일반상가,일반상가3층
393,394,명지동,월세,1101.5,50.4,-,-,3000,190,부산시 강서구 명지동 복합상가,복합상가1층
394,395,명지동,월세,2269.5,55.13,-,-,4000,230,부산시 강서구 명지동 복합상가,복합상가1층
395,396,명지동,월세,176.2,96.2,-,-,2000,90,부산시 강서구 명지동 일반상가 서린빌딩,일반상가 서린빌딩2층
396,397,명지동,월세,284.36,284.36,-,-,5000,250,부산시 강서구 명지동 일반상가,일반상가2층
